"filename";"caption";"date1";"date2";"date";"date3";"agent";"role";"agent2";"role2";"copyright";"source";"empty_column";"notes";"mon_id";"class_code";"classification";"agent3";"date_scan";"license";"url";"rights_text";"heidata";"heidoc"
"ACH0074_P_20220421_07";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 4, view from SW";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0074";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0074_P_20220421_03";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 4, view from E";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0074";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0074_P_20220421_02";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 4, view from N";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0074";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0074_P_20220421_04";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 4, view from W";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0074";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0073_H_1968_03";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 4, view from NW";"";"";"";"";"1264428";"photographer";"";"";"";"";"";"";"ACH0074";"4002855-0";"Architekturfotografie";"";"";"Free access - no reuse";"";"";"";""
"ACH0074_H_1968_01";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 4, view from NE";"";"";"";"";"1264428";"photographer";"";"";"";"";"";"";"ACH0074";"4002855-0";"Architekturfotografie";"";"";"Free access - no reuse";"";"";"";""
"ACH0074_D_2022_location_map";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 4, location map";"";"";"";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0074";"4029783-4";"Karte";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0074_P_20220421_05";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 4, view from NE";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0074";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0074_P_20220421_09";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 4, view from NW";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0074";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0074_P_20220421_10";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 4, stone śivaliṅga sanctum, view from SW";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0074";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
